Level3_Number;Level3_Discipline;Level2_Number;Level2_Discipline;Level1_Number;Level1_Discipline
10101;Philosophy;10200;Linguistics and literature, philosophy;10000;Humanities and Social Sciences
10102;Religious studies, Theology;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;10000;Humanities and Social Sciences
10103;Ecclesiastical history;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;10000;Humanities and Social Sciences
10104;Educational science and Pedagogy;10500;Psychology, educational studies;10000;Humanities and Social Sciences
10105;Psychology;10500;Psychology, educational studies;10000;Humanities and Social Sciences
10201;Sociology;10600;Sociology, social work, political sciences, media and communication studies, health;10000;Humanities and Social Sciences
10202;Political science;10600;Sociology, social work, political sciences, media and communication studies, health;10000;Humanities and Social Sciences
10203;Economics;10700;Economics, law;10000;Humanities and Social Sciences
10204;Science of management;10700;Economics, law;10000;Humanities and Social Sciences
10205;Legal sciences;10700;Economics, law;10000;Humanities and Social Sciences
10206;Social geography and ecology;10400;Ethnology, social and human geography;10000;Humanities and Social Sciences
10207;Communication sciences;10600;Sociology, social work, political sciences, media and communication studies, health;10000;Humanities and Social Sciences
10301;General history (without pre-and early history);10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;10000;Humanities and Social Sciences
10302;Swiss history;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;10000;Humanities and Social Sciences
10303;Ancient history and Classical studies;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;10000;Humanities and Social Sciences
10401;Prehistory;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;10000;Humanities and Social Sciences
10402;Archaeology;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;10000;Humanities and Social Sciences
10403;Ethnology;10400;Ethnology, social and human geography;10000;Humanities and Social Sciences
10404;Visual arts and Art history;10300;Art studies, musicology, theatre and film studies, architecture;10000;Humanities and Social Sciences
10405;Musicology;10300;Art studies, musicology, theatre and film studies, architecture;10000;Humanities and Social Sciences
10406;Theatre and Cinema;10300;Art studies, musicology, theatre and film studies, architecture;10000;Humanities and Social Sciences
10407;Architecture and Social urban science;10300;Art studies, musicology, theatre and film studies, architecture;10000;Humanities and Social Sciences
10501;German and English languages and literature;10200;Linguistics and literature, philosophy;10000;Humanities and Social Sciences
10502;Romance languages and literature;10200;Linguistics and literature, philosophy;10000;Humanities and Social Sciences
10503;Other languages and literature;10200;Linguistics and literature, philosophy;10000;Humanities and Social Sciences
